state,capital,flag,pop,Total area km,postal,admittance,ev,largest city
Alabama,Montgomery,<img src='/flags/alabama.jpg'>,"4,874,747 ","135,767 ",AL,"Dec 14, 1819 ",9,Birmingham
Alaska,Juneau,<img src='/flags/alaska.jpg'>,"739,795 ","1,723,337 ",AK,"Jan 3, 1959 ",3,Anchorage
Arizona,Phoenix,<img src='/flags/arizona.jpg'>,"7,016,270 ","295,234 ",AZ,"Feb 14, 1912 ",11,Phoenix
Arkansas,Little Rock,<img src='/flags/arkansas.jpg'>,"3,004,279 ","137,732 ",AR,"Jun 15, 1836 ",6,Little Rock
California,Sacramento,<img src='/flags/california.jpg'>,"39,536,653 ","423,967 ",CA,"Sep 9, 1850 ",55,Los Angeles
Colorado,Denver,<img src='/flags/colorado.jpg'>,"5,607,154 ","269,601 ",CO,"Aug 1, 1876 ",9,Denver
Connecticut,Hartford,<img src='/flags/connecticut.jpg'>,"3,588,184 ","14,357 ",CT,"Jan 9, 1788 ",7,Bridgeport
Delaware,Dover,<img src='/flags/delaware.jpg'>,"961,939 ","6,446 ",DE,"Dec 7, 1787 ",3,Wilmington
Florida,Tallahassee,<img src='/flags/florida.jpg'>,"20,984,400 ","170,312 ",FL,"Mar 3, 1845 ",29,Jacksonville
Georgia,Atlanta,<img src='/flags/georgia.jpg'>,"10,429,379 ","153,910 ",GA,"Jan 2, 1788 ",16,Atlanta
Hawaii,Honolulu,<img src='/flags/hawaii.jpg'>,"1,427,538 ","28,313 ",HI,"Aug 21, 1959 ",4,Honolulu
Idaho,Boise,<img src='/flags/idaho.jpg'>,"1,716,943 ","216,443 ",ID,"Jul 3, 1890 ",4,Boise
Illinois,Springfield,<img src='/flags/illinois.jpg'>,"12,802,023 ","149,995 ",IL,"Dec 3, 1818 ",20,Chicago
Indiana,Indianapolis,<img src='/flags/indiana.jpg'>,"6,666,818 ","94,326 ",IN,"Dec 11, 1816 ",11,Indianapolis
Iowa,Des Moines,<img src='/flags/iowa.jpg'>,"3,145,711 ","145,746 ",IA,"Dec 28, 1846 ",6,Des Moines
Kansas,Topeka,<img src='/flags/kansas.jpg'>,"2,913,123 ","213,100 ",KS,"Jan 29, 1861 ",6,Wichita
Kentucky,Frankfort,<img src='/flags/kentucky.jpg'>,"4,454,189 ","104,656 ",KY,"Jun 1, 1792 ",8,Louisville
Louisiana,Baton Rouge,<img src='/flags/louisiana.jpg'>,"4,684,333 ","135,659 ",LA,"Apr 30, 1812 ",8,New Orleans
Maine,Augusta,<img src='/flags/maine.jpg'>,"1,335,907 ","91,633 ",ME,"Mar 15, 1820 ",4,Portland
Maryland,Annapolis,<img src='/flags/maryland.jpg'>,"6,052,177 ","32,131 ",MD,"Apr 28, 1788 ",10,Baltimore
Massachusetts,Boston,<img src='/flags/massachusetts.jpg'>,"6,859,819 ","27,336 ",MA,"Feb 6, 1788 ",11,Boston
Michigan,Lansing,<img src='/flags/michigan.jpg'>,"9,962,311 ","250,487 ",MI,"Jan 26, 1837 ",16,Detroit
Minnesota,St. Paul,<img src='/flags/minnesota.jpg'>,"5,576,606 ","225,163 ",MN,"May 11, 1858 ",10,Minneapolis
Mississippi,Jackson,<img src='/flags/mississippi.jpg'>,"2,984,100 ","125,438 ",MS,"Dec 10, 1817 ",6,Jackson
Missouri,Jefferson City,<img src='/flags/missouri.jpg'>,"6,113,532 ","180,540 ",MO,"Aug 10, 1821 ",10,Kansas City
Montana,Helena,<img src='/flags/montana.jpg'>,"1,050,493 ","380,831 ",MT,"Nov 8, 1889 ",3,Billings
Nebraska,Lincoln,<img src='/flags/nebraska.jpg'>,"1,920,076 ","200,330 ",NE,"Mar 1, 1867 ",5,Omaha
Nevada,Carson City,<img src='/flags/nevada.jpg'>,"2,998,039 ","286,380 ",NV,"Oct 31, 1864 ",6,Las Vegas
New Hampshire,Concord,<img src='/flags/new-hampshire.jpg'>,"1,342,795 ","24,214 ",NH,"Jun 21, 1788 ",4,Manchester
New Jersey,Trenton,<img src='/flags/new-jersey.jpg'>,"9,005,644 ","22,591 ",NJ,"Dec 18, 1787 ",14,Newark
New Mexico,Santa Fe,<img src='/flags/new-mexico.jpg'>,"2,088,070 ","314,917 ",NM,"Jan 6, 1912 ",5,Albuquerque
New York,Albany,<img src='/flags/new-york.jpg'>,"19,849,399 ","141,297 ",NY,"Jul 26, 1788 ",29,New York City
North Carolina,Raleigh,<img src='/flags/north-carolina.jpg'>,"10,273,419 ","139,391 ",NC,"Nov 21, 1789 ",15,Charlotte
North Dakota,Bismarck,<img src='/flags/north-dakota.jpg'>,"755,393 ","183,108 ",ND,"Nov 2, 1889 ",3,Fargo
Ohio,Columbus,<img src='/flags/ohio.jpg'>,"11,658,609 ","116,098 ",OH,"Mar 1, 1803 ",18,Columbus
Oklahoma,Oklahoma City,<img src='/flags/oklahoma.jpg'>,"3,930,864 ","181,037 ",OK,"Nov 16, 1907 ",7,Oklahoma City
Oregon,Salem,<img src='/flags/oregon.jpg'>,"4,142,776 ","254,799 ",OR,"Feb 14, 1859 ",7,Portland
Pennsylvania,Harrisburg,<img src='/flags/pennsylvania.jpg'>,"12,805,537 ","119,280 ",PA,"Dec 12, 1787 ",20,Philadelphia
Rhode Island,Providence,<img src='/flags/rhode-island.jpg'>,"1,059,639 ","4,001 ",RI,"May 29, 1790 ",4,Providence
South Carolina,Columbia,<img src='/flags/south-carolina.jpg'>,"5,024,369 ","82,933 ",SC,"May 23, 1788 ",9,Charleston
South Dakota,Pierre,<img src='/flags/south-dakota.jpg'>,"869,666 ","199,729 ",SD,"Nov 2, 1889 ",3,Sioux Falls
Tennessee,Nashville,<img src='/flags/tennessee.jpg'>,"6,715,984 ","109,153 ",TN,"Jun 1, 1796 ",11,Memphis
Texas,Austin,<img src='/flags/texas.jpg'>,"28,304,596 ","695,662 ",TX,"Dec 29, 1845 ",38,Houston
Utah,Salt Lake City,<img src='/flags/utah.jpg'>,"3,101,833 ","219,882 ",UT,"Jan 4, 1896 ",6,Salt Lake City
Vermont,Montpelier,<img src='/flags/vermont.jpg'>,"623,657 ","24,906 ",VT,"Mar 4, 1791 ",3,Burlington
